iter	Passed	Remaining
0	1	117
1	2	115
2	3	113
3	4	114
4	6	124
5	7	120
6	8	117
7	10	115
8	12	127
9	14	127
10	15	124
11	16	121
12	17	119
13	19	119
14	20	116
15	21	115
16	23	113
17	25	115
18	26	113
19	27	111
20	29	109
21	30	107
22	31	105
23	33	104
24	34	102
25	35	101
26	37	100
27	38	100
28	40	98
29	41	97
30	43	95
31	44	93
32	45	92
33	46	90
34	47	88
35	49	87
36	50	86
37	51	84
38	53	83
39	54	81
40	55	79
41	56	77
42	56	75
43	57	73
44	58	72
45	60	70
46	61	69
47	62	67
48	64	66
49	65	65
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	72	57
56	73	55
57	74	54
58	76	52
59	77	51
60	78	50
61	79	48
62	81	47
63	83	46
64	84	45
65	85	44
66	86	42
67	87	41
68	89	40
69	90	38
70	91	37
71	92	36
72	93	34
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	123	2
98	125	1
99	126	0
